Date of Publication,Year,1 Person,2 Persons,3 Persons,4 Persons,5 Persons,6 Persons,7 Persons,8 Persons,$ For Each Additional Person (9+),,Documentation,HTML Link
January 2014,2014,"$13,420 ","$18,090 ","$22,760 ","$27,430 ","$32,100 ","$36,770 ","$41,440 ","$46,110 ","$4,670 ",,"2014 Vol. 79, No. 14, January 22, 2014, pp. 3593-3594",https://www.govinfo.gov/content/pkg/FR-2014-01-22/pdf/FR-2014-01-22.pdf
January 2013,2013,"$13,230 ","$17,850 ","$22,470 ","$27,090 ","$31,710 ","$36,330 ","$40,950 ","$45,570 ","$4,620 ",,"2013 Vol. 78, No. 16, January 24, 2013, pp. 5182-5183",https://www.govinfo.gov/content/pkg/FR-2013-01-24/pdf/2013-01422.pdf
January 2012,2012,"$12,860 ","$17,410 ","$21,960 ","$26,510 ","$31,060 ","$35,610 ","$40,160 ","$44,710 ","$4,550 ",,"2012 Vol. 77, No. 17, January 26, 2012, pp. 4034-4035",https://www.govinfo.gov/content/pkg/FR-2012-01-26/pdf/2012-1603.pdf
January 2011,2011,"$12,540 ","$16,930 ","$21,320 ","$25,710 ","$30,100 ","$34,490 ","$38,880 ","$43,270 ","$4,390 ",,"2011 Vol. 76, No. 13, January 20, 2011, pp. 3637-3638",https://www.govinfo.gov/content/pkg/FR-2011-01-20/pdf/2011-1237.pdf
January 2010,2010,"$12,460 ","$16,760 ","$21,060 ","$25,360 ","$29,660 ","$33,960 ","$38,260 ","$42,560 ","$4,300 ",,"2010 (Delayed update) Vol. 75, No. 148, August 3, 2010, pp. 45628-45629",https://www.govinfo.gov/content/pkg/FR-2010-08-03/pdf/2010-19129.pdf
January 2009,2009,"$12,460 ","$16,760 ","$21,060 ","$25,360 ","$29,660 ","$33,960 ","$38,260 ","$42,560 ","$4,300 ",,"2009 Vol. 74, No. 14, January 23, 2009, pp. 4199-4201",https://www.govinfo.gov/content/pkg/FR-2009-06-19/pdf/E9-14491.pdf
January 2008,2008,"$11,960 ","$16,100 ","$20,240 ","$24,380 ","$28,520 ","$32,660 ","$36,800 ","$40,940 ","$4,140 ",,"2008 Vol. 73, No. 15, January 23, 2008, pp. 3971-3972",https://www.govinfo.gov/content/pkg/FR-2008-01-23/pdf/08-256.pdf
January 2007,2007,"$11,750 ","$15,750 ","$19,750 ","$23,750 ","$27,750 ","$31,750 ","$35,750 ","$39,750 ","$4,000 ",,"2007 Vol. 72, No. 15, January 24, 2007, pp. 3147-3148",https://www.govinfo.gov/content/pkg/FR-2007-10-05/pdf/E7-19747.pdf
January 2006,2006,"$11,270 ","$15,180 ","$19,090 ","$23,000 ","$26,910 ","$30,820 ","$34,730 ","$38,640 ","$3,910 ",,"2006 Vol. 71, No. 15, January 24, 2006, pp. 3848-3849",https://www.govinfo.gov/content/pkg/FR-2006-01-24/pdf/06-624.pdf
February 2005,2005,"$11,010 ","$14,760 ","$18,510 ","$22,260 ","$26,010 ","$29,760 ","$33,510 ","$37,260 ","$3,750 ",,"2005 Vol. 70, No. 33, February 18, 2005, pp. 8373-8375",https://www.govinfo.gov/content/pkg/FR-2005-02-18/pdf/05-3144.pdf
February 2004,2004,"$10,700 ","$14,360 ","$18,020 ","$21,680 ","$25,340 ","$29,000 ","$32,660 ","$36,320 ","$3,660 ",,"2004 Vol. 69, No. 30, February 13, 2004, pp. 7336-7338",https://www.govinfo.gov/content/pkg/FR-2004-02-13/pdf/04-3329.pdf
February 2003,2003,"$10,330 ","$13,940 ","$17,550 ","$21,160 ","$24,770 ","$28,380 ","$31,990 ","$35,600 ","$3,610 ",,"2003 Vol. 68, No. 26, February 7, 2003, pp. 6456-6458",https://www.govinfo.gov/content/pkg/FR-2003-02-07/pdf/03-3018.pdf
February 2002,2002,"$10,200 ","$13,740 ","$17,280 ","$20,820 ","$24,360 ","$27,900 ","$31,440 ","$34,980 ","$3,540 ",,"2002 Vol. 67, No. 31, February 14, 2002, pp. 6931-6933",https://www.govinfo.gov/content/pkg/FR-2002-02-14/pdf/02-3627.pdf
February 2001,2001,"$9,890 ","$13,360 ","$16,830 ","$20,300 ","$23,770 ","$27,240 ","$30,710 ","$34,180 ","$3,470 ",,"2001 Vol. 66, No. 33, February 16, 2001, pp. 10695-10697",https://www.govinfo.gov/content/pkg/FR-2001-02-16/pdf/01-4036.pdf
February 2000,2000,"$9,590 ","$12,930 ","$16,270 ","$19,610 ","$22,950 ","$26,290 ","$29,630 ","$32,970 ","$3,340 ",,"2000 Vol. 65, No. 31, February 15, 2000, pp. 7555-7557",https://www.govinfo.gov/content/pkg/FR-2000-02-15/pdf/00-3478.pdf
March 1999,1999,"$9,490 ","$12,730 ","$15,970 ","$19,210 ","$22,450 ","$25,690 ","$28,930 ","$32,170 ","$3,240 ",,"1999 Vol. 64, No. 52, March 18, 1999, pp. 13428-13430",https://www.govinfo.gov/content/pkg/FR-1999-03-18/pdf/99-6538.pdf
February 1998,1998,"$9,260 ","$12,480 ","$15,700 ","$18,920 ","$22,140 ","$25,360 ","$28,580 ","$31,800 ","$3,220 ",,"1998 Vol. 63, No. 36, February 24, 1998, pp. 9235-9238",https://www.govinfo.gov/content/pkg/FR-1998-02-24/pdf/98-4566.pdf
March 1997,1997,"$9,070 ","$12,200 ","$15,330 ","$18,460 ","$21,590 ","$24,720 ","$27,850 ","$30,980 ","$3,130 ",,"1997 Vol. 62, No. 46, March 10, 1997, pp. 10856-10859",https://www.govinfo.gov/content/pkg/FR-1997-03-10/pdf/97-5731.pdf
March 1996,1996,"$8,910 ","$11,920 ","$14,930 ","$17,940 ","$20,950 ","$23,960 ","$26,970 ","$29,980 ","$3,010 ",,"1996 Vol. 61, No. 43, March 4, 1996, pp. 8286-8288",https://www.govinfo.gov/content/pkg/FR-1996-03-04/pdf/96-4915.pdf
February 1995,1995,"$8,610 ","$11,550 ","$14,490 ","$17,430 ","$20,370 ","$23,310 ","$26,250 ","$29,190 ","$2,940 ",,"1995 Vol. 60, No. 27, February 9, 1995, pp. 7772-7774",https://www.govinfo.gov/content/pkg/FR-1995-02-09/pdf/95-3285.pdf
February 1994,1994,"$8,470 ","$11,320 ","$14,170 ","$17,020 ","$19,870 ","$22,720 ","$25,570 ","$28,420 ","$2,850 ",,"1994 Vol. 59, No. 28, February 10, 1994, pp. 6277-6278",https://www.govinfo.gov/content/pkg/FR-1994-02-10/html/94-3229.htm
February 1993,1993,"$8,040 ","$10,860 ","$13,680 ","$16,500 ","$19,320 ","$22,140 ","$24,960 ","$27,780 ","$2,820 ",,"1993 Vol. 58, No. 28, February 12, 1993, pp. 8287-8289",https://tile.loc.gov/storage-services/service/ll/fedreg/fr058/fr058028/fr058028.pdf
February 1992,1992,"$7,830 ","$10,570 ","$13,310 ","$16,050 ","$18,790 ","$21,530 ","$24,270 ","$27,010 ","$2,740 ",,"1992 Vol. 57, No. 31, February 14, 1992, pp. 5455-5457",https://tile.loc.gov/storage-services/service/ll/fedreg/fr057/fr057031/fr057031.pdf
February 1991,1991,"$7,610 ","$10,210 ","$12,810 ","$15,410 ","$18,010 ","$20,610 ","$23,210 ","$25,810 ","$2,600 ",,"1991 Vol. 56, No. 34, February 20, 1991, pp. 6589-6861",https://www.govinfo.gov/content/pkg/FR-1991-02-20/pdf/FR-1991-02-20.pdf
February 1990,1990,"$7,230 ","$9,690 ","$12,150 ","$14,610 ","$17,070 ","$19,530 ","$21,990 ","$24,450 ","$2,460 ",,"1990 Vol. 55, No. 33, February 16, 1990, pp. 5664-5666",https://www.govinfo.gov/content/pkg/FR-1990-02-16/pdf/FR-1990-02-16.pdf
February 1989,1989,"$6,870 ","$9,220 ","$11,570 ","$13,920 ","$16,270 ","$18,620 ","$20,970 ","$23,320 ","$2,350 ",,"1989 Vol. 54, No. 31, February 16, 1989, pp. 7097-7098",https://www.govinfo.gov/content/pkg/FR-1989-02-16/pdf/FR-1989-02-16.pdf
February 1988,1988,"$6,650 ","$8,900 ","$11,150 ","$13,400 ","$15,650 ","$17,900 ","$20,150 ","$22,400 ","$2,250 ",,"1988 Vol. 53, No. 29, February 12, 1988, pp. 4213-4214",https://www.govinfo.gov/content/pkg/FR-1988-02-12/pdf/FR-1988-02-12.pdf
February 1987,1987,"$6,310 ","$8,500 ","$10,690 ","$12,880 ","$15,070 ","$17,260 ","$19,450 ","$21,640 ","$2,190 ",,"1987 Vol. 52, No. 34, February 20, 1987, pp. 5340-5341",https://www.govinfo.gov/content/pkg/FR-1987-02-20/pdf/FR-1987-02-20.pdf
February 1986,1986,"$6,170 ","$8,330 ","$10,490 ","$12,650 ","$14,810 ","$16,970 ","$19,130 ","$21,290 ","$2,160 ",,"1986 Vol. 51, No. 28, February 11, 1986, pp. 5105-5106", https://www.govinfo.gov/content/pkg/FR-1986-02-11/pdf/FR-1986-02-11.pdf
March 1985,1985,"$6,040 ","$8,110 ","$10,180 ","$12,250 ","$14,320 ","$16,390 ","$18,460 ","$20,530 ","$2,250 ",,"1985 Vol. 50, No. 46, March 8, 1985, pp. 9517-9518 2",https://www.govinfo.gov/content/pkg/FR-1985-03-08/pdf/FR-1985-03-08.pdf
February 1984,1984,"$5,730 ","$7,730 ","$9,730 ","$11,730 ","$13,730 ","$15,730 ","$17,730 ","$19,730 ","$2,000 ",,"1984 Vol. 49, No. 39, February 27, 1984, pp. 7151-7152",https://www.govinfo.gov/content/pkg/FR-1984-02-27/pdf/FR-1984-02-27.pdf
February 1983,1983,"$5,600 ","$7,530 ","$9,460 ","$11,390 ","$13,320 ","$15,250 ","$17,180 ","$19,110 ","$1,930 ",,"1983 Vol. 48, No. 34, February 17, 1983, pp. 7010-7011",https://www.govinfo.gov/content/pkg/FR-1983-02-17/pdf/FR-1983-02-17.pdf
April 1982,1982,"$5,390 ","$7,160 ","$8,930 ","$10,700 ","$12,470 ","$14,240 ","$16,010 ","$17,780 ","$1,770 ",,"1982 Vol. 47, No. 69, April 9, 1982, pp. 15417-15418",https://www.govinfo.gov/content/pkg/FR-1982-04-09/pdf/FR-1982-04-09.pdf
March 1981,1981,"$4,980 ","$6,560 ","$8,140 ","$9,720 ","$11,300 ","$12,880 ","$14,460 ","$16,040 ","$1,580 ",,"1981 Vol. 46, No. 43, March 5, 1981, pp. 15270-15273",https://www.govinfo.gov/content/pkg/FR-1981-03-05/pdf/FR-1981-03-05.pdf
April 1980,1980,"$4,370 ","$5,770 ","$7,170 ","$8,570 ","$9,970 ","$11,370 ","$12,770 ","$14,170 ","$1,400 ",,"1980 Vol. 45, No. 78, April 21, 1980, 26713-26714",https://www.govinfo.gov/content/pkg/FR-1980-04-21/pdf/FR-1980-04-21.pdf
May 1979,1979,"$3,930 ","$5,190 ","$6,450 ","$7,710 ","$8,970 ","$10,230 ","$11,490 ","$12,750 ","$1,260 ",,"1979 Vol. 44, No 89, May 7, 1979, pp. 26745-26746",https://www.govinfo.gov/content/pkg/FR-1979-05-07/pdf/FR-1979-05-07.pdf
April 1978,1978,"$3,620 ","$4,790 ","$5,960 ","$7,130 ","$8,300 ","$9,470 ","$10,640 ","$11,810 ","$1,170 ",,"1978 Vol. 43, No. 66, April 5, 1978, pp. 14316-14318",https://www.govinfo.gov/content/pkg/FR-1978-04-05/pdf/FR-1978-04-05.pdf
April 1977,1977,"$3,430 ","$4,530 ","$5,630 ","$6,730 ","$7,830 ","$8,930 ","$10,030 ","$11,130 ","$1,100 ",,"1977 Vol. 42, No. 79, April 25, 1977, pp. 1108-1109.",https://www.govinfo.gov/content/pkg/FR-1977-04-25/pdf/FR-1977-04-25.pdf
April 1976,1976,"$3,240 ","$4,270 ","$5,300 ","$6,330 ","$7,360 ","$8,390 ","$9,420 ","$10,450 ","$1,030 ",,"1976 Vol. 41, No. 66, April 5, 1976, pp. 14370-14371",https://www.govinfo.gov/content/pkg/FR-1976-04-05/pdf/FR-1976-04-05.pdf
March 1975,1975,"$2,900 ","$3,930 ","$4,870 ","$5,810 ","$6,750 ","$7,690 ","$8,630 ","$9,570 ",$940 ,,Documents from the Office of Economic Opportunity,N/A
May 1974,1974,"$2,680 ","$3,530 ","$4,380 ","$5,230 ","$6,080 ","$6,930 ","$7,790 ","$8,640 ",$850 ,,"1974 Vol. 39, NO 100, May 22, 2974, pp. 17969-17979",https://www.govinfo.gov/content/pkg/FR-1974-05-22/pdf/FR-1974-05-22.pdf
March 1973,1973,"$2,530 ","$3,340 ","$4,140 ","$4,940 ","$5,750 ","$6,560 ","$7,360 ","$8,160 ",$800 ,,Documents from the Office of Economic Opportunity,N/A
January 1972,1972,"$2,425 ","$3,150 ","$4,000 ","$4,850 ","$5,675 ","$6,400 ","$7,150 ","$7,900 ",$750 ,,"1972 Vol. 37, No. 7, Jan 12, 1972",https://www.govinfo.gov/content/pkg/FR-1972-01-12/pdf/FR-1972-01-12.pdf
November 1971,1971,"$2,300 ","$3,000 ","$3,650 ","$4,400 ","$5,200 ","$5,850 ","$6,500 ","$7,150 ",$650 ,,Documents from the Office of Economic Opportunity,N/A

December 1970,1970,"$2,250 ","$2,900 ","$3,550 ","$4,250 ","$4,900 ","$5,550 ","$6,200 ","$7,000 ",$650 ,,Documents from the Office of Economic Opportunity,N/A
