Date of Publication,Year,1 Person,2 Persons,3 Persons,4 Persons,5 Persons,6 Persons,7 Persons,8 Persons,$ For Each Additional Person (9+),,Documentation,HTML Link
January 2024,2024,"$17,310 ","$23,500 ","$29,690 ","$35,880 ","$42,070 ","$48,260 ","$54,450 ","$60,640 ","$6,190 ",,"2024 Vol. 89, No. 11, January 17, 2024, pp. 2961-2963",https://www.govinfo.gov/content/pkg/FR-2024-01-17/pdf/2024-00796.pdf
January 2023,2023,"$16,770 ","$22,680 ","$28,590 ","$34,500 ","$40,410 ","$46,320 ","$52,230 ","$58,140 ","$5,910 ",,"2023 Vol. 88, No. 12, January 19, 2023, pp. 3424-3425",https://www.govinfo.gov/content/pkg/FR-2023-01-19/pdf/2023-00885.pdf
January 2022,2022,"$15,630 ","$21,060 ","$26,490 ","$31,920 ","$37,350 ","$42,780 ","$48,210 ","$53,640 ","$5,430 ",,"2022 Vol. 87, No. 14, January 21, 2022, pp. 3315-3316",https://www.govinfo.gov/content/pkg/FR-2022-01-21/pdf/2022-01166.pdf
February 2021,2021,"$14,820 ","$20,040 ","$25,260 ","$30,480 ","$35,700 ","$40,920 ","$46,140 ","$51,360 ","$5,220 ",,"2021 Vol. 86, No. 19, February 1, 2021, pp. 7732-7734",https://www.govinfo.gov/content/pkg/FR-2021-02-01/pdf/2021-01969.pdf
January 2020,2020,"$14,680 ","$19,830 ","$24,980 ","$30,130 ","$35,280 ","$40,430 ","$45,580 ","$50,730 ","$5,150 ",,"2020 Vol. 85, No. 12, January 17, 2020, pp. 3060-3061",https://www.govinfo.gov/content/pkg/FR-2020-01-17/pdf/2020-00858.pdf
January 2019,2019,"$14,380 ","$19,460 ","$24,540 ","$29,620 ","$34,700 ","$39,780 ","$44,860 ","$49,940 ","$5,080 ",,"2019 Vol. 84, No. 22, February 1, 2019, pp. 1167-1168",https://www.govinfo.gov/content/pkg/FR-2019-02-01/pdf/2019-00621.pdf
January 2018,2018,"$13,960 ","$18,930 ","$23,900 ","$28,870 ","$33,840 ","$38,810 ","$43,780 ","$48,750 ","$4,970 ",,"2018 Vol. 83, No. 12, January 18, 2018, pp. 2642-2644",https://www.govinfo.gov/content/pkg/FR-2018-01-18/pdf/2018-00814.pdf
January 2017,2017,"$13,860 ","$18,670 ","$23,480 ","$28,290 ","$33,100 ","$37,910 ","$42,720 ","$47,530 ","$4,810 ",,"2017 Vol. 82, No. 19, January 31, 2017, pp. 8831-8832",https://www.govinfo.gov/content/pkg/FR-2017-01-31/pdf/2017-02076.pdf
January 2016,2016,"$13,670 ","$18,430 ","$23,190 ","$27,950 ","$32,710 ","$37,470 ","$42,230 ","$47,010 ","$4,760 ",,"2016 Vol. 81, No.15 January 25, 2016, pp. 4036-4037",https://www.govinfo.gov/content/pkg/FR-2019-02-01/pdf/2019-00621.pdf
January 2015,2015,"$13,550 ","$18,330 ","$23,110 ","$27,890 ","$32,670 ","$37,450 ","$42,230 ","$47,010 ","$4,780 ",,"2015 Vol. 80, No. 14, January 22, 2015, pp. 3236-3237",https://www.govinfo.gov/content/pkg/FR-2015-01-22/pdf/2015-01120.pdf
